work	year	book	chapter	unigram_perplexity_orig	bigram_perplexity_orig	mdl_over_dl_orig	wc_orig	type_token_ratio_orig	unigram_perplexity_norm	bigram_perplexity_norm	mdl_over_dl_norm	wc_norm	type_token_ratio_norm
Müncheni kódex, 1466	1466	Jn	6	287.77472391889023	3.139404308931608	0.459576853019476	1113	0.4887690925426775	212.50258578746895	3.855310884927206	0.38823529411764707	1116	0.40770609318996415
Müncheni kódex, 1466	1466	Jn	7	226.05293733803992	2.9820952635819076	0.482445987654321	807	0.516728624535316	172.0707747074848	3.584270111642792	0.41805955811719503	802	0.43017456359102246
Müncheni kódex, 1466	1466	Jn	8	246.60384506872367	3.126035519712175	0.4543726235741445	953	0.4900314795383001	180.79509863124775	3.9229326693211206	0.3858218318695107	970	0.3907216494845361
Müncheni kódex, 1466	1466	Jn	9	195.60453210419715	2.7797128672439806	0.4707646176911544	640	0.496875	145.13908893578056	3.544414203315373	0.4027027027027027	651	0.41013824884792627
Müncheni kódex, 1466	1466	Jn	10	216.88436341726003	2.428060544464151	0.5060698027314112	619	0.5735056542810986	151.89369057533426	3.3371482710486777	0.4251171971379225	638	0.4702194357366771
Müncheni kódex, 1466	1466	Jn	11	235.40884090941512	3.125108412886053	0.4854048099871489	870	0.5149425287356322	189.93710440853954	3.645960080780999	0.43051031487513575	859	0.44935972060535506
Müncheni kódex, 1466	1466	Jn	12	261.5018700659648	2.8094863879388443	0.5115054602184087	787	0.567979669631512	207.36384969501393	3.3424451801959996	0.45440583605298523	783	0.4955300127713921
Müncheni kódex, 1466	1466	Jn	13	215.70080790053575	2.4950559491606152	0.49936692833628765	619	0.5411954765751211	169.21025478822358	2.809909271774751	0.4199604743083004	611	0.47299509001636664
Müncheni kódex, 1466	1466	Jn	14	166.26729253078503	2.5912938446867826	0.469768820391227	500	0.558	123.88138857047893	3.203000853332435	0.40421792618629176	502	0.4601593625498008
Müncheni kódex, 1466	1466	Jn	15	138.82523168346268	2.674216286267894	0.4746917585983128	437	0.5560640732265446	120.32767353314728	2.8289930563880343	0.40601503759398494	428	0.4953271028037383
Müncheni kódex, 1466	1466	Jn	16	171.93705658806374	2.44306486416294	0.4613480055020633	513	0.5380116959064327	126.44953371009768	2.988363811249339	0.3836988897914974	525	0.4342857142857143
Müncheni kódex, 1466	1466	Jn	17	122.85257646571095	2.5581165148878076	0.47747065505490344	405	0.5061728395061729	94.65093313585943	2.9453909903081055	0.37755102040816324	418	0.4138755980861244
Müncheni kódex, 1466	1466	Jn	18	215.00129400800014	2.8103094152809382	0.49733333333333335	719	0.5159944367176634	170.69860763211963	3.3170331369508688	0.4299045138888889	710	0.4563380281690141
Müncheni kódex, 1466	1466	Jn	19	227.56880094071303	2.728930716313168	0.5003108808290155	739	0.5520974289580515	183.68460277552256	3.203799096076018	0.43240536751452036	752	0.488031914893617
Müncheni kódex, 1466	1466	Jn	20	181.8185273157189	2.410137130180479	0.483843537414966	532	0.5620300751879699	137.40757113777073	3.0918215863673706	0.4237008523508386	567	0.4691358024691358
Müncheni kódex, 1466	1466	Jn	21	199.99528871997103	2.1693941338042753	0.5104136110296275	528	0.5814393939393939	150.82254278189515	2.6988300902380575	0.43767867352773016	522	0.49616858237547895
